					SAMPATH STORES - HORANA
						Tel-0114595062
			Issued By :sv0
					Daily Report
					Report For :2017-1-20

				Invdate 		Itemcd		Item_Name	Item_Qnt		Net_price		Discount	  value

			2017-01-20 22:33:46	4		Milk		2.0		270.0		0.5	537.3
			2017-01-20 22:18:46	1		Sugar		2.0		100.0		2.0	196.0
			2017-01-20 22:18:12	4		Milk		2.0		270.0		0.0	540.0
			2017-01-20 22:15:03	4		Milk		4.0		270.0		0.0	1080.0
			2017-01-20 22:15:03	3		Rice		2.0		80.0		1.0	158.4
			2017-01-20 22:08:56	1		Sugar		2.0		100.0		2.0	196.0
			2017-01-20 22:08:56	2		Lux		4.0		40.0		0.0	160.0
			2017-01-20 21:58:43	3		Rice		4.0		80.0		1.0	316.8
			2017-01-20 21:58:43	2		Lux		3.0		40.0		0.0	120.0
			2017-01-20 21:58:28	1		Sugar		3.0		100.0		2.0	294.0

														   Total:   3598.5
